1 .017280407
2 .019758164
3 .010453816
4 .009584368
5 .009198659
6 .010731689
7 .012454851
8 .019090938
9 .017653012
10 .018637047
11 .027906619
12 .013575199
13 .011133960
14 .010552705
15 .008999309
16 .008403585
17 .008906511
18 .010207281
19 .008646658
20 .016655456
21 .013661501
22 .009666447
23 .023688822
24 .012316699
25 .010123585
26 .010157193
27 .013643501
28 .013354475
29 .012070223
30 .023194828
31 .018065372
32 .020688683
33 .014777969
34 .021449757
35 .014036489
36 .019693292
37 .013184203
38 .012903658
39 .015125992
40 .011999946
41 .012613334
42 .011479706
43 .010634908
44 .009036701
45 .008882538
46 .008730207
47 .023709527
48 .015089158
49 .013073060
50 .009860219
