1 .012558451
2 .013940623
3 .016981996
4 .010802369
5 .010441981
6 .013342192
7 .014610671
8 .018845919
9 .015809807
10 .016652762
11 .015542410
12 .014867021
13 .016904683
14 .015035109
15 .020119033
16 .012375966
17 .011434797
18 .011644904
19 .010473967
20 .012089320
21 .017641172
22 .014175311
23 .014209514
24 .021325639
25 .016269423
26 .017531020
27 .025997224
28 .016301761
29 .018718883
30 .011893198
31 .012657812
32 .026642198
33 .016507505
34 .017877739
35 .019551687
36 .013177655
37 .017596905
38 .016790771
39 .024488980
40 .025309739
41 .010762743
42 .010783317
43 .014724069
44 .024544818
45 .020691274
46 .014839262
47 .013937475
48 .019828692
49 .016487449
50 .026470778
